rank,prev_rank,name,league,off,def,spi
573,571,Shrewsbury Town,English League One,0.5,1.82,16.41
574,572,Trapani,Italy Serie B,0.56,1.94,16.3
575,573,Hamilton Academical,Scottish Premiership,0.63,2.08,16.3
576,578,Exeter City,English League Two,0.53,1.9,16.12
577,575,Golden Arrows,South African ABSA Premier League,0.46,1.78,16.01
578,577,AmaZulu,South African ABSA Premier League,0.49,1.84,15.9
579,574,El Paso Locomotive FC,United Soccer League,0.45,1.77,15.85
580,589,Scunthorpe,English League Two,0.65,2.16,15.79
581,581,Cheltenham Town,English League Two,0.63,2.12,15.71
582,579,Swindon Town,English League Two,0.6,2.09,15.5
583,587,Central Coast Mariners,Australian A-League,0.71,2.3,15.46
584,576,Accrington Stanley,English League One,0.59,2.08,15.41
585,584,Baroka FC,South African ABSA Premier League,0.42,1.76,15.22
586,593,AFC Wimbledon,English League One,0.59,2.11,15.11
587,586,Chippa United,South African ABSA Premier League,0.35,1.65,14.95
588,603,Mansfield Town,English League Two,0.57,2.1,14.86
589,588,Vasby United,Swedish Allsvenskan,0.57,2.11,14.6
590,582,Saint Louis FC,United Soccer League,0.48,1.96,14.47
591,583,Charleston Battery,United Soccer League,0.48,1.95,14.36
592,596,Crewe Alexandra,English League Two,0.63,2.26,14.21
593,585,Oklahoma City Energy FC,United Soccer League,0.57,2.21,13.66
594,592,Black Leopards,South African ABSA Premier League,0.43,1.94,13.63
595,598,Rio Grande Valley FC Toros,United Soccer League,0.58,2.24,13.62
596,594,Plymouth Argyle,English League Two,0.51,2.12,13.41
597,590,Forest Green Rovers,English League Two,0.37,1.83,13.35
598,607,Loudoun United FC,United Soccer League,0.77,2.63,13.29
599,600,Charlotte Independence,United Soccer League,0.54,2.2,13.1
600,591,Las Vegas Lights FC,United Soccer League,0.61,2.39,12.8
601,599,Falkenbergs FF,Swedish Allsvenskan,0.48,2.16,12.35
602,604,Rochdale,English League One,0.51,2.24,12.31
603,602,Stellenbosch FC,South African ABSA Premier League,0.39,2.03,11.93
604,601,Colchester United,English League Two,0.39,2.05,11.63
605,595,Oldham Athletic,English League Two,0.53,2.36,11.62
606,606,Salford City,English League Two,0.49,2.27,11.49
607,597,Southend United,English League One,0.63,2.57,11.48
608,617,Hartford Athletic,United Soccer League,0.75,2.92,10.62
609,605,Northampton Town,English League Two,0.44,2.29,10.6
610,609,Bethlehem Steel FC,United Soccer League,0.71,2.87,10.46
611,610,Grimsby Town,English League Two,0.37,2.17,10.16
612,612,Newport County,English League Two,0.2,1.77,10.08
613,613,Bolton,English League One,0.4,2.26,10.06
614,614,Swope Park Rangers,United Soccer League,0.66,2.88,9.71
615,611,Memphis 901 FC,United Soccer League,0.35,2.2,9.66
616,620,Atlanta United 2,United Soccer League,0.65,2.87,9.57
617,608,Birmingham Legion FC,United Soccer League,0.35,2.19,9.56
618,619,Leyton Orient,English League Two,0.45,2.43,9.54
619,616,Tulsa Roughnecks,United Soccer League,0.52,2.61,9.45
620,618,Crawley Town,English League Two,0.45,2.45,9.42
621,615,Carlisle United,English League Two,0.42,2.43,9.12
622,622,Tacoma Defiance,United Soccer League,0.52,2.87,7.84
623,623,Stevenage,English League Two,0.26,2.24,7.68
624,621,Cambridge United,English League Two,0.2,2.15,7.3
625,627,Macclesfield,English League Two,0.23,2.31,6.75
626,624,Walsall,English League Two,0.2,2.24,6.72
627,625,Port Vale,English League Two,0.22,2.34,6.5
628,626,Morecambe,English League Two,0.29,2.55,6.38
629,628,Colorado Springs Switchbacks FC,United Soccer League,0.2,2.46,5.53
